Last Date Sold,Latitude,Longitude,Zip,Price,Price Per Sq. Ft.,Footage,Lot Area,Beds,Baths,Address,Listing URL,Short Address,City,State,Raw Property Details,Date Scraped,Broker Name,Status,Type,Raw Rent Details,Lowest Rent,Highest Rent,Rent Zestimate,Zestimate,Tax Assessed Value (Most Recent),Date Price Last Changed,Price Change,Currency,Most Recent Date Listed for Sale,Days on the Market (For Sale),Days on Zillow,MLS Id,Broker Phone,Listed By,Lister Phone,Agent Name,Agent Phone,Agent Email,Co-Agent Name,Co-Agent Phone,Buyer Agent Fee,Association Name,Association Fee,Monthly HOA Fees,Year Built,Stories,Heating,Cooling,Fireplaces,Flooring,Foundation,Garage Capacity,Sewer,Subdivision,Zoning Desc.,Property Condition,Roof Type,Virtual Tour,MLS Source,Parcel Id,Favorite Count,Page Views,Tax Paid (Most Recent),Has Private Pool,Pool Features
06/07/2021,40.322292,-74.568085,8536,729000,237,3078,32234.4,4,4,"1 Red Oak Dr, Plainsboro, NJ 08536",https://www.zillow.com/homedetails/1-Red-Oak-Dr-Plainsboro-NJ-08536/55551650_zpid/,,,,4 bds | 4 ba | 3078 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$5,909 ",1102400,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/07/2021,40.321255,-74.59263,8536,1080000,214,5050,56628,5,6,"2 Harvest Dr, Plainsboro, NJ 08536",https://www.zillow.com/homedetails/2-Harvest-Dr-Plainsboro-NJ-08536/55551837_zpid/,,,,5 bds | 6 ba | 5050 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$8,224 ",1529300,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/07/2021,40.342686,-74.572945,8536,998500,256,3893,25212.53,4,4,"1 Cardinal Dr, Plainsboro, NJ 08536",https://www.zillow.com/homedetails/1-Cardinal-Dr-Plainsboro-NJ-08536/64605179_zpid/,,,,4 bds | 4 ba | 3893 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$7,463 ",1386700,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/07/2021,40.32939,-74.64908,8540,463000,,,19314.5,3,2,"4 Glenview Dr, Princeton, NJ 08540",https://www.zillow.com/homedetails/4-Glenview-Dr-Princeton-NJ-08540/39035109_zpid/,,,,3 bds | 2 ba ,"Sun, 6/2/24",Callaway Henderson Sotheby's Int'l-Princeton,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$3,499 ",607800,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/07/2021,40.298767,-74.60673,8550,595000,266,2236,58806,4,3,"15 Slayback Dr, Princeton Junction, NJ 08550",https://www.zillow.com/homedetails/15-Slayback-Dr-Princeton-Junction-NJ-08550/39037616_zpid/,,,,4 bds | 3 ba | 2236 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$4,349 ",865500,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/07/2021,40.28904,-74.59358,8550,1150000,303,3801,144183.6,5,4,"17 Cliffview Ct, West Windsor, NJ 08550",https://www.zillow.com/homedetails/17-Cliffview-Ct-West-Windsor-NJ-08550/39038089_zpid/,,,,5 bds | 4 ba | 3801 sqft,"Sun, 6/2/24",Callaway Henderson Sotheby's Int'l-Princeton,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$7,671 ",1525700,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/08/2021,40.303257,-74.61944,8550,535000,292,1834,16199.96,3,2,"10 Canoe Brook Dr, Princeton Junction, NJ 08550",https://www.zillow.com/homedetails/10-Canoe-Brook-Dr-Princeton-Junction-NJ-08550/39036759_zpid/,,,,3 bds | 2 ba | 1834 sqft,"Sun, 6/2/24",Keller Williams Premier,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$3,999 ",728900,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/09/2021,40.533264,-74.35647,8840,347500,362,960,24393.6,0,,"46 Charles St, Metuchen, NJ 08840",https://www.zillow.com/homedetails/46-Charles-St-Metuchen-NJ-08840/55546850_zpid/,,,,Studio | 960 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$2,749 ",515100,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/09/2021,40.368523,-74.57266,8852,868160,288,3010,22977.9,0,,"7 Potter Way, Monmouth Junction, NJ 08852",https://www.zillow.com/homedetails/7-Potter-Way-Monmouth-Junction-NJ-08852/248884693_zpid/,,,,Studio | 3010 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$6,295 ",1136200,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
06/09/2021,40.310818,-74.60128,8550,1060000,266,3982,34177.18,5,4,"10 Dean Ct, West Windsor, NJ 08550",https://www.zillow.com/homedetails/10-Dean-Ct-West-Windsor-NJ-08550/39037017_zpid/,,,,5 bds | 4 ba | 3982 sqft,"Sun, 6/2/24",,RECENTLY_SOLD,SINGLE_FAMILY,,,,"$7,504 ",1493100,,,,$,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
